Countries,Date,Expenditure ($M),Education Expenditure (%Bud.),Gov. Health Exp. (%Bud.),Defence Expenditure (%Bud.),Expenditure (%GDP),Ch.
Saint Lucia,2020,529,0.143,0.089,,0.322,7.38
Sri Lanka,2019,17314,0.113,0.085,0.097,0.206,1.77
Liberia,2019,1031,0.082,0.042,0.019,0.335,1.54
Lesotho,2020,1137,0.138,0.118,0.031,0.567,-0.81
Lithuania,2020,24253,0.117,0.128,0.048,0.429,8.1
Luxembourg,2020,34606,0.087,0.108,0.012,0.472,4.3
Latvia,2020,14536,0.112,0.090,0.051,0.431,4.9
Libya,2019,33069,0.081,0.000,0.108,0.837,15.24
Morocco,2020,41330,0.060,0.075,0.122,0.360,6.56
Moldova,2019,3754,0.195,0.116,0.011,0.314,0.4
Montenegro,2020,2599,,0.121,0.041,0.543,10.28
Madagascar,2020,2176,0.143,0.150,0.036,0.165,1.12
Marshall Islands,2020,159,0.162,0.095,,0.653,0.53
North Macedonia,2020,4519,0.086,0.128,0.036,0.367,5.14
Mali,2019,4001,0.146,0.058,0.119,0.232,2.84
Burma - Myanmar,2020,17630,0.106,0.035,0.141,0.217,1.39
Mongolia,2020,4991,0.164,0.082,0.020,0.379,6.53
Mauritania,2020,1572,0.098,0.061,0.125,0.193,1.5
Malta,2020,6855,0.134,0.165,0.012,0.459,9.9
Mauritius,2020,3772,0.161,0.100,0.005,0.334,2.28
Maldives,2020,1873,0.105,0.218,,0.500,16.58
Malawi,2019,2131,0.146,0.098,0.040,0.193,-0.07
Mexico,2020,312166,0.166,0.111,0.019,0.290,3.05
Malaysia,2020,85673,0.168,0.089,0.042,0.254,1.86
Mozambique,2020,4665,0.179,0.047,0.034,0.332,3.34
Namibia,2020,4388,0.249,0.107,0.083,0.403,2.73
Niger,2020,3157,0.133,0.097,0.074,0.229,1.32
Nigeria,2020,52086,0.056,0.046,0.050,0.121,-0.42
Nicaragua,2020,3676,0.224,0.186,0.022,0.291,1.22
Netherlands,2020,439111,0.129,0.153,0.029,0.480,6
Norway,2020,211584,0.156,0.179,0.035,0.582,6.6
Nepal,2020,9341,0.141,0.045,0.048,0.274,0.09
